Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2016-02-03,147.14602661132812,147.49839026922996,143.9411879314099,147.21314532734553,3871000
2016-02-04,147.33058166503906,148.24505005474376,146.17280635965378,146.77686192754308,3562200
2016-02-05,144.56201171875,146.97823425672328,144.00829192020012,146.85238186527872,2371900
2016-02-08,142.57363891601562,143.14412867022048,140.62723499831694,142.8672688301211,3402000
2016-02-09,142.61561584472656,143.77337844093609,140.92090354390498,141.09707896434344,2360700
2016-02-10,142.5233612060547,144.84728476024046,142.38912374976996,143.4042641091507,1953600
2016-02-11,140.69439697265625,141.55014466875022,139.31011014797562,140.32525040565153,3439200
2016-02-12,143.5803985595703,143.5803985595703,141.53332292399202,142.2380501029861,1800300
2016-02-16,145.9882354736328,145.9882354736328,144.34387191347528,145.3086761491688,2361000
2016-02-17,148.37933349609375,148.70652929672823,146.9195299539461,147.0873331760877,2265400
2016-02-18,147.75009155273438,148.68134299350803,147.49001451278997,148.66456011305087,1646000
2016-02-19,147.7165069580078,147.82556365365596,146.5251659308439,147.0537177385586,1136900
2016-02-22,149.83074951171875,149.9649869780386,149.09246905013842,149.15118994066,2603100
2016-02-23,147.95144653320312,149.49513868168492,147.84237701348223,149.26861460287492,2076000
2016-02-24,148.6477813720703,148.87430545899554,145.64429856753677,146.6426559547669,2599800
2016-02-25,150.4347686767578,150.4347686767578,148.3541396618041,149.0840349046014,2546000
2016-02-26,150.15792846679688,151.3157040809646,149.95658509152454,151.1814666297244,2560800
2016-02-29,148.81561279296875,150.9717461426248,148.81561279296875,150.12439611829922,3128400
2016-03-01,152.48182678222656,152.48182678222656,149.61256918446782,150.0404365520125,3041400
2016-03-02,153.12789916992188,153.14466925319167,151.77716497446676,152.15469667348174,3839200
2016-03-03,153.68994140625,153.7234943606715,152.43987942749862,152.91809543870443,3150400
2016-03-04,154.18492126464844,154.9232142479447,153.15299833687536,153.90806139591234,2821000
2016-03-07,154.35275268554688,154.69673135348563,153.32082948331856,153.4047310906751,3449900
2016-03-08,152.6161346435547,153.80746347309997,152.50706509102758,153.38798094995343,3385400
2016-03-09,153.45506286621094,153.71513991989823,152.69998682478356,153.40472702376664,1641600
2016-03-10,153.5389404296875,154.69671592750007,151.8777937426944,153.84936610468148,2090500
2016-03-11,156.03065490722656,156.0558228246781,154.75543775106286,154.84772438224707,2231000
2016-03-14,155.79576110839844,156.21524350922968,155.26722198843024,155.54406910758232,1412800
2016-03-15,155.59442138671875,155.59442138671875,154.72189080370188,154.95679992953242,1325300
2016-03-16,156.52566528320312,156.82768031473822,155.09102987547828,155.10781275553688,2700700
2016-03-17,157.5156707763672,157.9267682141293,156.04748210068865,156.39984584666078,1937300
2016-03-18,158.10293579101562,158.3881807899501,157.64990036927196,158.01904698040536,2623400
2016-03-21,158.34413146972656,158.52126528673455,157.65249489396604,157.88022182545913,1535400
2016-03-22,158.25979614257812,158.74900879064242,157.48380766056658,157.6356256184358,1521600
2016-03-23,157.24765014648438,158.03208166541435,157.03678325767328,157.88025081291772,1633300
2016-03-24,157.13795471191406,157.15482766096676,156.04987472807423,156.25231150583932,1874800
2016-03-28,157.24765014648438,157.67782683664691,156.81748632661538,157.52599598415028,1271200
2016-03-29,158.7574920654297,158.7574920654297,156.57291380384515,156.87656269169327,1604900
2016-03-30,159.4237823486328,160.0226499170541,159.06109751318735,159.55874023310693,1908400
2016-03-31,159.04421997070312,159.65994760419719,158.8417960201253,159.28883273804053,3007800
2016-04-01,160.0648193359375,160.2250802084272,157.81276282058897,158.06579275579193,2971800
2016-04-04,159.55874633789062,160.17447401271,159.2719704751301,160.03952899336505,1259500
2016-04-05,157.93930053710938,158.74903505726485,157.72843364720669,158.35260427462433,1737500
2016-04-06,159.65989685058594,159.73581867821005,157.80427162851203,158.0573143565875,1860800
2016-04-07,157.77903747558594,158.9936328039987,157.10426086310179,158.715286968713,2635300
2016-04-08,158.209228515625,159.22138709103274,157.72001574894742,158.83338632080756,2043800
2016-04-11,157.79588317871094,159.40690900609624,157.7537072345345,158.79116853576082,1355300
2016-04-12,159.3309783935547,159.56714822360146,157.58500765925947,157.97299543564043,1590700
